Domain,Feature,CurrentMaturity_0_to_5,Evidence,VerticalSliceTarget,KeyGap,RecommendedPhase
Shipyard UX,Mouse-first CAD-like workflow,2,"Shipyard UI, transforms, drag/drop, socket editing, symmetry and paint systems exist",5,Unify catalog/viewport/inspector/context menus/gizmos/selection/preview/validation,2
Shipyard UX,Symmetry / selection / thumbnails,3,Dedicated systems/tests exist,5,"Integrate with parametric elements, handed primitives, nested assemblies and undo",2
Shipyard UX,Paint / material / decals,2,Paint zones and material systems exist; runtime logs show no MTL-resolved base textures for current modules,4,Physical-scale material projection + layered livery/decal/weathering/damage authority,2
Ship generation,Faction/class/role lineage,3,"FactionShipDesignSystem, ShipClassRoleSystem, ShipPcgRuntimeClosureSystem; repaired lineage tests pass",5,Make lineage immutable provenance through generation/refit/salvage/manufacturing,2
Ship generation,Procedural ship grammar,2,142 deterministic recipes loaded; multiple grammar/design systems exist,4,Shift to topology->skeleton->authored modules->parametric connectors->shell->detail->validation,2
Ship systems,Fitting / equipment,2,FittingSystem and equipment systems exist,4,EVE-like slot/constraint clarity plus physical access where relevant; preview/simulation UI,3
Ship systems,Power/data/fuel/coolant/ammo networks,1,Power and component systems exist but no single authoritative multi-network ship resource graph,4,Unify resource buses and failure propagation; expose diagnostics and repair gameplay,3
Ship systems,Mass / center of mass / inertia,1,Flight/physics foundations exist but not construction-authoritative,4,Compute from BuildElements/modules/cargo; use placement to affect handling and thruster authority,3
Interiors,Modular interior connectivity,2,"ShipModuleInteriorLinkSystem, PortalGraphSystem, operational core and clearance systems exist",4,"Author real walkable interiors, portals, doors, clearance, service access and compiled nav",3
Interiors,Atmosphere / pressure volumes,0,No mature authoritative pressurization simulation evidenced,3,"Use coarse occupancy/portal graph, room IDs, breaches, doors and life-support state",3
Embodiment,On-foot ship/station gameplay,1,"Embodiment and character foundations exist, but not a player-ready first-person layer",4,"Player controller, animation, interaction, inventory, MFD/use points, local-frame movement",3
Embodiment,EVA,0,Direction exists but no mature runtime evidence,3,"Local-frame transitions, suit resources, mag-lock, zero-g locomotion, boarding/salvage interaction",4
Docking,Dock / hangar transition,2,Hangar and docking systems exist,4,Continuous docked ship -> hangar/interior -> on-foot flow; permissions and state persistence,4
Cargo,Physical/durable cargo,2,Cargo/inventory/itemization exist,4,"Cargo mass/volume, containers, grids/anchors, loading/unloading, salvage provenance and logistics",4
Salvage,Ship salvage loop,2,Salvage and scoopable loot systems exist,4,"Board/cut/detach/intact module recovery, condition, repair/refit, cargo handling, provenance",4
Mining,Mining loop,3,Mining system and asteroid fracture foundations exist,4,"Tie deposits, scanning, fracture, cargo, refining, economy and automation into vertical slice",4
Manufacturing,Crafting/refining/manufacturing quality,2,"Crafting, refining, recycling, quality systems exist",4,"Production graphs, recipes, facility capability, skill/quality, logistics and market demand",5
Economy,Dynamic market/economy,2,Scarcity pricing and economy simulation foundations exist,4,"Regional supply/demand, production consumption, transport costs, NPC orders, sinks/faucets, telemetry",5
Factions,Dynamic factions / security,2,"Faction profiles, security and strategic action foundations exist",4,"Territory, budgets, goals, diplomacy, wars, patrols, industry, logistics and consequences",5
Fleet,Fleet command / doctrines / missions,2,"Fleet command, captain AI, doctrine/intent/mission systems exist",4,"Orders, task groups, logistics, formations, delegated autonomy, tactical command UI",5
Fleet,Formation runtime,1,FormationSystem exists but completion truth flags unfinished/placeholder areas,4,"Finish formation solver, obstacle response, arrival, combat spacing, local-frame behavior",1
Stations,Station construction / services,2,Many station systems and kitbash visual systems exist,4,"Use same BuildElement/assembly compiler with station-specific grammar, docking, services and interiors",5
Planets,Planet/system generation,2,"Celestial generation, placement, ecology, scanning foundations exist",4,Lock planet representation and streamed surface-zone model; authored+PCG POIs and orbital scan contract,6
Planets,Surface gameplay / landing,1,Home-surface and world systems exist but older authority conflicts with conventional landing,4,Resolve landing/approach/streamed zone state machine; local terrain and settlement gameplay,4
Scanning,Exploration / survey,2,"Scanning, survey, discovery systems exist",4,"Range bands, signature uncertainty, orbital resolution, POI/resource discovery, faction/security effects",4
Home industry,Persistent home automation,2,"Home factory, power, logistics, production and surface systems exist",4,"Integrate as persistent industrial progression layer, not entire game identity",4
Research,Research / unlocks,2,Research and blueprint systems exist,4,"Tech families, reverse engineering, faction/manufacturer knowledge, construction unlocks",5
Quests/story,Story / missions,2,"Quest, story spine and mission concepts exist",4,"Unify generated contracts, authored story, faction context and debt-start scenario",4
AI,Ship/fleet/strategic AI,2,"Decision, steering, captain and faction action systems exist",4,"Hierarchical planners, intent/state, perception, navigation, economy participation, validation",5
Networking,Transport/session networking,1,NetworkSystem scaffold exists,3,"Authoritative co-op session model, command replication, snapshots, interest management, recovery",8
Multiplayer,Co-op gameplay,0,"Required direction, but no production-ready multiplayer evidence",3,Target 2-8 player co-op after vertical slice; shared world/ship roles/build permissions,8
Renderer,Current native renderer,3,Native renderer and OpenGL path run; runtime smoke passes,4,Batching/instancing/LOD/material arrays/async uploads/compiled assembly draws before backend rewrite,7
Renderer,Modern backend abstraction,1,Modernization contract exists; no completed backend migration,3,Keep candidate evaluation; only migrate after measured vertical-slice bottleneck,7
Assets,Materials / texture coherence,1,"Semantic zones exist, but current runtime reports 0/175 MTL-resolved and 0 base-color textured",4,Unified physical-scale PBR-ish material/livery/decal pipeline; authored exceptions where needed,7
Audio,Production audio,1,Audio systems exist but no evidence of broad content polish,3,"Ship/interior/space/UI/environment cues, occlusion/room treatment, damage/engineering feedback",7
UI,Player-facing UI/HUD,2,UI framework/HUD/tactical contacts/front-end systems exist,4,Mode-coherent cockpit/tactical/on-foot/inventory/fitting/market/map/shipyard UX,4
Performance,Profiling / scalability,2,Performance monitor and source gates exist,4,"Budgets per simulation layer, render cluster stats, async jobs, streaming, worst-case station/capital tests",7
Project interoperability,Ember hosted-project compatibility,0,No current repository code-search evidence of an Ember hosting/project contract,4,Define versioned project descriptor/capability schema; project-owned commands; canonical shared schemas; launch/validate/debug hooks,0
Project interoperability,Ember canonical-data parity,0,No current evidence of editor/runtime parity certification,4,Same schemas/readers/validators; derived caches only; round-trip and runtime interpretation tests,0
Design lineage,Nullharbor integration authority,2,Current master spec explicitly states Nullharbor mature cockpit/interior/salvage/station/planetary work is folded into Subspace,5,Map every retained Nullharbor feature to a current owning Subspace spec/system and remove duplicate authority,0
Tooling workflow,Golden System editor-to-runtime loop,0,Golden System roadmap exists conceptually; no certified Ember open/edit/validate/launch loop yet,4,Golden System must be authorable and launchable from Ember using Subspace-owned validation/runtime commands,4
