Document_or_Family,Disposition,FutureRole,Rationale
docs/guides/MODULAR_SHIP_* family,CONSOLIDATE,Legacy ship generation family,Merge overlapping guides into one current ship construction/generation handbook; archive superseded variants.
docs/guides/SHIP_GENERATION_* family,CONSOLIDATE,Legacy PCG family,Too many overlapping versions; extract still-valid rules and archive the rest.
docs/guides/X4_* family,REFERENCE ONLY,External inspiration,"Keep as comparative reference, never architectural authority."
docs/guides/EVE_* family,REFERENCE ONLY,External inspiration,"Keep as comparative reference, never architectural authority."
docs/guides/CONSOLIDATED_TEST_GUIDE.md,KEEP+UPDATE,Testing guide,"Add maturity evidence, Golden Vertical Slice acceptance, performance/load gates."
docs/archive/**,KEEP ARCHIVAL,Non-authoritative,Historical only; excluded from authority searches/status generation.
docs/passes/**,ARCHIVE/GENERATED HISTORY,Pass history,Never use as current roadmap authority.
docs/NULLHARBOR_INTEGRATION_AUTHORITY.md,CREATE,Design-lineage authority,Maps approved Nullharbor-origin systems into Subspace ownership and prevents parallel/duplicate game authority.
docs/EMBER_PROJECT_CONTRACT.md,CREATE,Hosted-project interoperability authority,"Defines how Ember discovers, edits, validates and launches Subspace without becoming a runtime dependency."
project descriptor / hosted-project manifest,CREATE AFTER UNIVERSAL CONTRACT LOCK,Machine-readable interoperability,Must follow the shared Ember/Forge project contract rather than a one-off Subspace-only schema.
