domain,feature,maturity_0_5,evidence,next_acceptance
Planet,Seamless atmosphere entry / landing / takeoff,0,Current playable shell explicitly reports this architecture is not yet runtime-wired,"Implement atmosphere transition, terrain promotion, landing validation, surface physics and takeoff continuity"
Planet,Weather / atmosphere presentation,2,Presentation/weather systems exist,"Couple to physical atmosphere, flight, hazards and planet streaming"
Planet,Strategic planetary hex territory,1,PlanetWorld definition includes strategic-hex foundations,Integrate ownership/security/resources/infrastructure under continuous visible terrain
Planet,Large surface settlements/cities,0,No dedicated persistent SettlementId simulation authority found,Implement settlement identity/state/economy/infrastructure/streamed exterior/interior-cell coupling
Planet,Surface vehicles / hover bikes / mechs,1,Vehicle clearance/interior support concepts exist but no full surface vehicle runtime loop,Add canonical vehicle entity/physics/garage/deployment/traversal systems after planet streaming base
Planet,Loaded building/underground cells,1,Interior/portal systems provide reusable graph foundations,"Add CellId, entrance anchors, persistence deltas, elevator/door transition and exterior-parent linkage"
Exploration,Survey Records / information economy,1,Survey/exploration foundations and current design authority exist,"Create persistent graded SurveyRecord schema, provenance, buyer/licensing market and first-discovery state"
Exploration,Biology/geology/anomaly field exploration,1,Deep exploration/anomaly/resource systems exist as foundations,"Integrate samples, ground verification, risk, equipment progression and survey value"
Economy,Local markets / production,2,EconomySimulationSystem and station/local economy foundations compile,Tie NPC extraction/production/hauling/consumption/loss replacement into one persistent simulation
Economy,Planetary industry / manufacturing,2,Several industrialization/manufacturing foundations compile,Reframe around seamless surface settlements/infrastructure rather than old no-landing/tether-only assumptions
Faction,Security / dynamic factions,2,FactionSecurity/DynamicFaction foundations compile,"Couple budgets, territory, settlements, patrols, wars and player/corporation consequences"
Fleet,Fleet commands / captains / doctrine,2,Multiple fleet systems compile,Unify state ownership; implement real formation movement; certify orders at simulation LOD
Fleet,Formation following,1,FormationSystem Update is explicitly placeholder,Implement deterministic following/spacing/avoidance and simulation-LOD behavior
Fleet,Carriers / drones / hangars,2,"CarrierOperations, DroneOperations and hangar foundations compile","Integrate physical bays, carried craft/vehicles, auto-deploy/loot and persistent nested frames"
Corporation,Corporation progression/operations,2,Corporation systems compile,"Couple to economy, territory, fleet assets, permissions, settlements and multiplayer"
Ships,Persistent ShipId across world layers,1,Design authority exists; current state ownership is fragmented,Create canonical ship persistence/representation handoff used by surface/space/gate/docking/Shipyard
Ships,Ship class/role/faction lineage,3,Pass891 repaired class envelopes and lineage authority; current code/tests cover taxonomy,Keep one append-only serialized vocabulary and avoid duplicate class systems
Ships,Authored kitbash corpus,3,156 Greyoxide modules and taxonomy/certification pipeline established in prior GREEN source,"Improve material zones, interiors, propulsion semantics and provenance coverage"
Ships,Parametric construction / BuildElement,1,UniversalConstruction foundations exist but no full sparse-parametric canonical assembly,Lock quantization ADR; implement BuildElement + authored module common representation
Ships,Semantic sockets / attachment validation,3,Shipyard socket/classification/authoring systems exist,Converge every assembly path on canonical semantic socket/face validation
Ships,Editable -> compiled ship pipeline,1,Multiple validation/render systems exist but no single canonical compiler product owns all outputs,Implement topology/resource/interior/atmo/mass/collision/render compilation stages
Ships,Engineering networks,1,Power and several damage/repair systems exist separately,Create explicit power/fuel/coolant/data/ammo/cargo/life-support networks on canonical assembly
Ships,Conformal shield presentation,3,Hull-following shield direction and impact-ripple work exists,"Certify profile accuracy, performance and gameplay damage coupling in real Shipyard/runtime"
Ships,Interiors / portal graph,2,ShipInterior/PortalGraph/operational systems compile,"Connect canonical modules, rooms, doors, pressure/life support and moving-frame embodiment"
Ships,EVA / boarding / intact module salvage,1,Embodiment/salvage foundations exist but no certified full EVA boarding loop,"Implement suit transition, derelict boarding, detachment, provenance/condition/refit loop"
Shipyard,In-game persistent-ship refit,2,Shipyard/refit systems compile but persistent same-ShipId hangar loop is not end-to-end certified,"Dock actual ship, edit canonical assembly, compile/validate, exit/undock same instance"
Editor,Canonical dock workspace model,2,Pass892-901 EditorDockSystem tests pass; model handles tabs/splits/floating/persistence,Wire NativeBattlefieldRenderer/input hit-testing to visible tabs/splitters/drag targets/floating windows
Editor,Asset browser / inspector / selection,2,Project-wide editor models exist,Make every visible panel consume shared dock/input/selection/command authority
Editor,Socket authoring / symmetry / camera,3,Dedicated authoring systems/tests exist,Integrate with canonical BuildElement compiler and visible docked editor UI
Content,GameData authored runtime data authority,3,Pass902-911 aligns code/docs/ProjectOps to keep GameData current,Windows Full Gate + future schema versioning/loaders; do not auto-move to content/data
Content,Subspace-native player-facing vocabulary,3,GameData tutorials/quests normalized away from donor material/hyperdrive/voxel wording,Migrate compiled compatibility identifiers under versioned save/schema plan
Content,Legacy Avorion compatibility internals,1,Compiled ShipModuleDefinition/Salvage/Factory still contain donor material/hyperdrive identifiers,Design migration aliases/versioned serialization and replace player-visible/internal canonical IDs safely
Assets,Planet visual fixture provenance,1,ImportedPlanetVisualSystem expects content/derived/various_planets_v1; source registry does not currently govern that fixture,Register exact user-supplied source/provenance/license/hash before required runtime use
Assets,Quaternius/future source packs,1,Foundry source registry lists intake candidates; required kitbash registry currently pins only Greyoxide,Acquire/certify exact pack revisions/licenses/checksums before runtime dependency
Rendering,Current native renderer,3,Native renderer builds and existing visual tests pass; NativeBattlefieldRenderer is ~3882 lines,Decompose scene/domain passes; profile and optimize data path before backend replacement
Rendering,Modern compiled clusters / instancing / HLOD,1,Direction/scaffolding exists,"Implement dirty-region compilation, batching/instancing/HLOD/async uploads and budgets"
Persistence,Save schema / migrations / round trip,1,HomeSystemSaveGame is explicitly temporary and old home/expedition-shaped,Replace with versioned current-world schema preserving stable IDs/unknown fields and migration tests
Multiplayer,Networking transport/session,1,NetworkSystem provides in-memory message/server abstractions,Implement real authoritative transport/session/serialization/security/interest/reconnect
Multiplayer,2-8 player co-op gameplay,0,Not player-usable,"Implement only after Reference Solar System core slice, using shared commands/stable IDs from earlier phases"
Tooling,Ember hosted-project interoperability,1,Contract aligned; no end-to-end Ember discovery/edit/launch round trip,Implement universal descriptor/capabilities after Subspace canonical schemas stabilize
